frame,latency_ms,cpu_percent,ram_mb
0,1.27,16.2,88.23
1,0.04,11.8,90.38
2,0.12,10.0,89.51
3,0.04,17.6,90.39
4,0.06,11.6,90.43
5,0.05,30.6,90.44
6,0.04,15.6,90.45
7,0.05,22.5,90.55
8,0.05,7.5,90.55
9,0.04,17.5,90.57
10,0.05,5.0,90.57
11,0.05,10.0,90.62
12,0.04,7.5,90.62
13,0.06,15.0,90.75
14,0.05,13.0,90.80
15,0.04,7.7,90.80
16,0.05,2.9,91.01
17,0.04,10.6,91.21
18,0.05,9.5,91.41
19,0.04,7.1,91.63
20,0.04,31.6,91.84
21,0.05,27.9,92.03
22,0.06,33.3,92.34
23,0.05,10.0,92.50
24,0.06,15.4,92.83
25,0.04,39.1,92.84
26,0.06,6.9,92.91
27,0.04,12.2,93.11
28,0.04,12.5,93.30
29,0.04,18.5,93.33
30,0.04,3.8,93.41
31,0.04,16.7,93.44
32,0.04,19.2,93.45
33,0.04,24.0,93.45
34,0.05,11.6,93.45
35,0.04,14.0,93.45
36,0.11,13.0,93.45
37,0.04,8.3,93.45
38,0.07,42.1,93.45
39,0.04,36.6,93.45
40,0.04,16.2,93.46
41,0.04,33.3,93.46
42,0.08,19.2,93.46
43,0.07,45.0,93.48
44,0.04,0.0,94.65
45,0.04,24.2,94.65
46,0.05,29.7,94.66
47,0.07,28.1,94.66
48,0.06,21.6,94.66
49,0.04,24.1,94.66
50,0.04,34.9,94.66
51,0.04,17.1,94.66
52,0.06,20.6,94.66
53,0.05,4.8,94.67
54,0.04,11.9,94.67
55,0.04,7.7,94.67
56,0.05,7.0,94.68
57,0.04,5.7,94.68
58,0.05,12.0,94.68
59,0.05,13.2,94.68
60,0.05,7.7,94.68
61,0.04,7.4,94.68
62,0.04,15.6,94.68
63,0.04,12.0,94.75
64,0.05,20.8,94.75
65,0.04,13.7,94.75
66,0.04,7.8,94.75
67,0.08,23.8,94.75
68,0.04,9.5,94.74
69,0.05,7.7,94.74
70,0.04,9.3,94.74
71,0.10,11.6,94.74
72,0.05,15.9,94.74
73,0.05,17.9,94.74
74,0.06,13.2,93.92
75,0.04,9.8,93.92
76,0.05,10.0,93.92
77,0.04,13.2,93.92
78,0.05,16.7,93.92
79,0.04,1.8,93.92
80,0.05,23.1,93.92
81,0.04,16.1,93.92
82,0.04,8.2,93.92
83,0.06,10.3,93.92
84,0.05,6.8,93.92
85,0.06,10.0,93.92
86,0.06,26.5,93.62
87,0.04,18.6,93.62
88,0.04,12.0,93.62
89,0.05,19.4,93.62
90,0.04,10.5,93.62
91,0.04,12.9,93.62
92,0.06,6.2,93.62
93,0.05,3.1,93.62
94,0.05,11.8,93.62
95,0.06,18.2,93.62
96,0.04,11.1,93.62
97,0.05,8.2,93.62
98,0.08,10.3,93.62
99,0.05,13.3,93.62
