frame,latency_ms,cpu_percent,ram_mb
0,11.37,83.3,56.02
1,0.07,0.0,56.02
2,0.04,0.0,56.02
3,0.03,0.0,56.02
4,0.02,0.0,56.02
5,0.02,0.0,56.02
6,0.03,0.0,56.02
7,0.02,0.0,56.02
8,0.02,0.0,56.02
9,0.03,0.0,56.02
10,0.02,0.0,56.02
11,0.02,0.0,56.02
12,0.02,0.0,56.02
13,0.02,0.0,56.02
14,0.02,0.0,56.02
15,0.01,0.0,56.02
16,0.01,0.0,56.02
17,0.01,0.0,56.02
18,0.02,0.0,56.02
19,0.01,0.0,56.02
20,0.01,0.0,56.02
21,0.01,0.0,56.02
22,0.01,0.0,56.02
23,0.01,0.0,56.02
24,0.01,0.0,56.02
25,0.01,0.0,56.02
26,0.01,0.0,56.02
27,0.01,0.0,56.02
28,0.01,0.0,56.02
29,0.01,0.0,56.02
30,0.01,0.0,56.02
31,0.01,0.0,56.02
32,1.77,100.0,56.02
33,0.03,0.0,56.02
34,0.02,0.0,56.02
35,0.02,0.0,56.02
36,0.02,0.0,56.02
37,0.03,0.0,56.02
38,0.02,0.0,56.02
39,0.03,0.0,56.02
40,0.02,0.0,56.02
41,0.02,0.0,56.02
42,0.02,0.0,56.02
43,0.02,0.0,56.02
44,0.02,0.0,56.02
45,0.02,0.0,56.02
46,0.01,0.0,56.02
47,0.01,0.0,56.02
48,0.01,0.0,56.02
49,0.01,0.0,56.02
50,0.01,0.0,56.02
51,0.01,0.0,56.02
52,0.01,0.0,56.02
53,0.01,0.0,56.02
54,0.01,0.0,56.02
55,0.01,0.0,56.02
56,0.01,0.0,56.02
57,0.01,0.0,56.02
58,0.01,0.0,56.02
59,0.01,0.0,56.02
60,0.01,0.0,56.02
61,0.01,0.0,56.02
62,0.01,0.0,56.02
63,0.01,0.0,56.02
64,0.02,0.0,56.02
65,0.02,0.0,56.02
66,0.01,0.0,56.02
67,0.01,0.0,56.02
68,0.01,0.0,56.02
69,0.01,0.0,56.02
70,0.01,0.0,56.02
71,0.01,0.0,56.02
72,0.01,0.0,56.02
73,0.01,0.0,56.02
74,0.03,0.0,56.02
75,0.02,0.0,56.02
76,0.02,0.0,56.02
77,0.02,0.0,56.02
78,0.02,0.0,56.02
79,0.02,0.0,56.02
80,0.01,0.0,56.02
81,0.01,0.0,56.02
82,0.01,0.0,56.02
83,0.01,0.0,56.02
84,0.01,0.0,56.02
85,0.01,0.0,56.02
86,0.01,0.0,56.02
87,0.01,0.0,56.02
88,0.01,0.0,56.02
89,0.01,0.0,56.02
90,0.01,0.0,56.02
91,0.01,0.0,56.02
92,0.01,0.0,56.02
93,0.01,0.0,56.02
94,0.01,0.0,56.02
95,0.01,0.0,56.02
96,0.01,0.0,56.02
97,0.01,0.0,56.02
98,0.01,0.0,56.02
99,0.01,0.0,56.02
