frame,latency_ms,cpu_percent,ram_mb
0,0.09,15.6,87.11
1,0.05,11.8,89.22
2,0.13,17.1,88.36
3,0.04,38.2,89.33
4,0.05,14.8,89.34
5,0.05,11.8,89.34
6,0.05,10.0,89.36
7,0.04,9.3,89.46
8,0.05,6.5,89.47
9,0.06,10.0,89.48
10,0.05,16.1,89.51
11,0.06,16.0,89.55
12,0.06,18.8,89.57
13,0.05,9.8,89.64
14,0.04,10.7,89.84
15,0.05,13.3,90.04
16,0.05,10.3,90.05
17,0.04,13.7,90.24
18,0.05,41.4,90.29
19,0.05,5.9,90.49
20,0.04,23.4,90.62
21,0.08,20.0,90.82
22,0.05,30.2,91.01
23,0.05,15.9,91.21
24,0.05,15.0,91.43
25,0.04,19.5,91.75
26,0.06,20.0,91.95
27,0.06,10.0,92.15
28,0.04,10.0,92.35
29,0.04,10.0,92.57
30,0.06,7.5,92.74
31,0.04,14.3,92.81
32,0.05,12.5,92.81
33,0.06,10.0,92.81
34,0.07,17.5,92.81
35,0.06,10.2,92.81
36,0.07,10.8,92.82
37,0.06,10.5,92.82
38,0.05,13.2,92.82
39,0.04,17.8,92.82
40,0.05,28.6,92.83
41,0.06,13.3,92.83
42,0.04,16.7,92.83
43,0.05,17.6,92.84
44,0.05,0.0,94.01
45,0.06,19.5,94.02
46,0.06,13.8,94.02
47,0.06,13.9,94.02
48,0.06,20.0,94.02
49,0.06,14.1,94.02
50,0.04,4.8,94.02
51,0.05,10.3,94.02
52,0.05,11.4,94.03
53,0.07,30.6,94.03
54,0.05,29.1,94.03
55,0.05,100.0,94.03
56,0.05,31.7,94.04
57,0.06,17.2,94.04
58,0.06,29.5,94.04
59,0.06,14.9,94.04
60,0.06,38.2,94.04
61,0.04,24.2,94.04
62,0.05,21.1,94.04
63,0.04,22.2,94.04
64,0.06,21.1,94.04
65,0.06,11.8,94.05
66,0.04,17.6,94.05
67,0.05,14.3,94.05
68,0.05,10.0,94.05
69,0.05,10.8,94.05
70,0.05,27.5,94.05
71,0.05,17.1,94.06
72,0.05,10.0,94.06
73,0.05,14.6,94.06
74,0.05,9.1,94.06
75,0.05,10.3,92.18
76,0.04,23.1,92.18
77,0.05,11.4,92.18
78,0.05,16.7,92.18
79,0.05,100.0,92.18
80,0.04,13.3,92.18
81,0.05,10.9,92.19
82,0.07,100.0,92.19
83,0.04,15.0,92.19
84,0.05,17.1,92.19
85,0.04,17.5,92.19
86,0.05,36.4,92.19
87,0.04,6.5,92.19
88,0.15,14.7,91.78
89,0.04,12.1,91.78
90,0.04,2.5,91.78
91,0.05,11.8,91.78
92,0.07,12.9,91.78
93,0.05,20.0,91.78
94,0.06,11.8,91.78
95,0.04,11.1,91.78
96,0.04,4.4,91.78
97,0.06,19.4,91.78
98,0.04,9.8,91.78
99,0.06,31.6,91.78
