model_name,architecture,environment_label,n_images,mean_latency_ms,median_latency_ms,min_latency_ms,max_latency_ms,std_latency_ms,p95_latency_ms,throughput_fps,images_per_minute,peak_rss_mb,peak_rss_mb_rusage,avg_cpu_percent_normalized,avg_cpu_percent_raw,checkpoint_size_mb,model_load_time_ms,total_runtime_s,cpu_affinity_count,torch_threads,repeat_index,timestamp,git_commit_sha
U-Net + MobileNetV2,unet_mobilenet,desktop,100,72.284,54.221,41.702,219.929,38.629,156.43,13.83,830.1,511.2,-1.0,65.87,1053.9,76.226,188.877,30.231,16,12,1,2026-07-11T09:58:52.814962+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop_threads2,100,99.044,77.934,66.401,459.171,70.729,193.704,10.1,605.8,509.94,-1.0,13.41,214.56,76.226,158.867,24.187,16,2,1,2026-07-11T09:59:18.205869+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,vm_a_2c2g,100,77.217,71.772,61.624,191.626,18.458,110.359,12.95,777.0,556.2,766.93,63.55,127.1,76.226,2639.288,38.645,2,2,1,2026-07-11T09:59:18.551185+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop_threads4,100,98.088,85.383,42.605,227.464,41.016,188.214,10.19,611.7,510.23,-1.0,25.0,400.03,76.226,408.655,28.828,16,4,1,2026-07-11T09:59:48.478419+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,vm_b_4c4g,100,88.036,78.1,38.425,198.971,40.222,170.526,11.36,681.5,557.72,768.47,58.8,235.22,76.226,1556.671,35.299,4,4,1,2026-07-11T09:59:55.587638+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop,100,77.338,53.588,41.921,194.221,35.669,138.299,12.93,775.8,510.41,-1.0,68.98,1103.71,76.226,177.378,23.849,16,12,2,2026-07-11T10:00:13.496111+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,vm_a_2c2g,100,99.3,76.332,59.927,383.878,53.876,212.307,10.07,604.2,580.37,768.71,64.17,128.34,76.226,1846.427,39.682,2,2,2,2026-07-11T10:00:36.802834+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop_threads2,100,90.309,79.01,65.149,248.211,35.613,162.611,11.07,664.4,510.55,-1.0,13.04,208.66,76.226,160.637,23.17,16,2,2,2026-07-11T10:00:37.825200+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop_threads4,100,84.168,71.366,45.003,226.96,40.23,191.909,11.88,712.9,514.57,-1.0,25.17,402.67,76.226,175.586,23.783,16,4,2,2026-07-11T10:01:03.263144+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,vm_b_4c4g,100,83.377,74.777,36.557,208.794,41.12,192.123,11.99,719.6,579.89,768.25,57.12,228.49,76.226,1711.668,34.448,4,4,2,2026-07-11T10:01:12.625446+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop,100,66.062,49.365,42.717,224.787,34.329,129.645,15.14,908.2,516.19,-1.0,69.36,1109.77,76.226,196.243,21.677,16,12,3,2026-07-11T10:01:26.092060+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,desktop_threads2,100,77.333,76.771,67.593,109.073,6.449,86.589,12.93,775.9,515.05,-1.0,13.58,217.22,76.226,173.295,21.347,16,2,3,2026-07-11T10:01:48.887288+00:00,14daaed
U-Net + MobileNetV2,unet_mobilenet,vm_a_2c2g,100,79.521,68.318,60.902,127.583,20.202,120.25,12.58,754.5,579.84,768.52,58.31,116.63,76.226,1146.027,37.679,2,2,3,2026-07-11T10:01:52.283287+00:00,14daaed
